timestamp,open,high,low,close,volume
2024-09-20 19:52:00,217.6660,217.6660,217.6660,217.6660,5
2024-09-20 19:47:00,217.6800,217.6800,217.6800,217.6800,29
2024-09-20 19:44:00,217.6500,217.6500,217.6500,217.6500,6
2024-09-20 19:28:00,217.5500,217.5500,217.5500,217.5500,48
2024-09-20 19:11:00,217.4140,217.4140,217.4140,217.4140,34
2024-09-20 19:10:00,217.6800,217.6800,217.6800,217.6800,1
2024-09-20 19:06:00,217.6800,217.6800,217.6800,217.6800,50
2024-09-20 19:04:00,217.5700,217.6500,217.5700,217.6500,19
2024-09-20 19:00:00,217.7000,217.7000,217.5500,217.5500,3574588
2024-09-20 18:48:00,217.5500,217.5500,217.5500,217.5500,8
2024-09-20 18:30:00,217.7000,217.7000,217.7000,217.7000,3574587
2024-09-20 18:15:00,217.4000,217.4000,217.4000,217.4000,1
2024-09-20 18:09:00,217.5800,217.6950,217.5800,217.6950,25
2024-09-20 18:01:00,217.5500,217.5500,217.5500,217.5500,6
2024-09-20 18:00:00,217.4700,217.4700,217.4700,217.4700,75
2024-09-20 17:59:00,217.4150,217.4150,217.4150,217.4150,75
2024-09-20 17:56:00,217.5500,217.5500,217.5500,217.5500,10
2024-09-20 17:54:00,217.5500,217.5500,217.5500,217.5500,4
2024-09-20 17:44:00,217.5200,217.5500,217.5200,217.5500,10
2024-09-20 17:40:00,217.4000,217.4000,217.4000,217.4000,6
2024-09-20 17:33:00,184.3600,217.5600,184.3600,217.5600,20
2024-09-20 17:30:00,217.6850,217.6850,217.6850,217.6850,5
2024-09-20 17:29:00,217.5600,217.5600,217.5600,217.5600,5
2024-09-20 17:28:00,217.5600,217.5600,217.5600,217.5600,1
2024-09-20 17:25:00,217.5500,217.5500,217.5500,217.5500,3
2024-09-20 17:24:00,217.4900,217.5900,217.4900,217.5900,25
2024-09-20 17:23:00,217.4100,217.4100,217.4100,217.4100,6
2024-09-20 17:12:00,217.5800,217.5900,217.5000,217.5000,61
2024-09-20 17:11:00,217.5900,217.5900,217.5900,217.5900,5
2024-09-20 17:08:00,217.6999,217.6999,217.6999,217.6999,4
2024-09-20 16:58:00,217.6850,217.6850,217.6850,217.6850,2
2024-09-20 16:56:00,217.3000,217.4100,217.3000,217.4100,143
2024-09-20 16:54:00,216.4300,216.4300,216.4300,216.4300,15
2024-09-20 16:49:00,217.5900,217.5900,217.5900,217.5900,15
2024-09-20 16:48:00,217.5900,217.5900,217.5900,217.5900,1
2024-09-20 16:40:00,217.7000,217.7000,217.7000,217.7000,6002
2024-09-20 16:38:00,217.5900,217.5900,217.5900,217.5900,1
2024-09-20 16:37:00,217.0400,217.5000,217.0400,217.5000,3
2024-09-20 16:36:00,216.9900,217.0000,216.9900,217.0000,64
2024-09-20 16:35:00,217.7000,217.7000,217.7000,217.7000,1
2024-09-20 16:34:00,217.0300,217.0300,217.0300,217.0300,1
2024-09-20 16:33:00,217.7000,217.7000,217.7000,217.7000,1
2024-09-20 16:26:00,215.9000,215.9000,215.9000,215.9000,1
2024-09-20 16:23:00,217.7000,217.7000,217.7000,217.7000,192
2024-09-20 16:21:00,217.5000,217.5200,217.5000,217.5200,14
2024-09-20 16:20:00,217.7000,217.7000,217.7000,217.7000,1506
2024-09-20 16:19:00,217.7000,217.7000,217.7000,217.7000,757
2024-09-20 16:18:00,217.7000,217.7000,217.7000,217.7000,33
2024-09-20 16:17:00,217.5800,217.7000,217.5800,217.6999,676046
2024-09-20 16:16:00,216.8800,217.7000,216.8800,217.7000,47
2024-09-20 16:15:00,217.7005,217.7005,217.0000,217.0000,7042
2024-09-20 16:14:00,217.7000,217.7000,217.7000,217.7000,10
2024-09-20 16:11:00,217.7010,217.7035,217.6990,217.7035,522608
2024-09-20 16:10:00,217.7000,217.7020,217.6000,217.6980,3581165
2024-09-20 16:09:00,217.0700,217.7000,217.0700,217.7000,59426
2024-09-20 16:08:00,217.7000,217.7000,217.0700,217.0700,3925
2024-09-20 16:07:00,217.7000,217.7000,217.6782,217.6782,3349
2024-09-20 16:06:00,217.7000,217.7010,217.6500,217.7000,322041
2024-09-20 16:05:00,217.7000,217.7000,217.7000,217.7000,138433
2024-09-20 16:04:00,217.7000,217.7044,217.6400,217.6400,263416
2024-09-20 16:03:00,217.7000,217.7000,217.7000,217.7000,1264
2024-09-20 16:02:00,217.6500,217.7000,217.6500,217.7000,674
2024-09-20 16:01:00,217.7000,217.7000,217.6400,217.7000,12914
2024-09-20 16:00:00,217.6300,217.7098,216.5900,217.7000,7631691
2024-09-20 15:59:00,217.7889,217.8500,217.6300,217.6500,124323
2024-09-20 15:58:00,217.7100,217.8000,217.6300,217.7900,60850
2024-09-20 15:57:00,217.4700,217.7300,217.4500,217.7100,51965
2024-09-20 15:56:00,217.3500,217.4450,217.2600,217.4450,48319
2024-09-20 15:55:00,217.2100,217.5600,217.2100,217.4000,39564
2024-09-20 15:54:00,217.3500,217.4400,217.2100,217.2100,27589
2024-09-20 15:53:00,217.4650,217.5000,217.3500,217.3700,19499
2024-09-20 15:52:00,217.3500,217.4800,217.3400,217.4700,21561
2024-09-20 15:51:00,217.1700,217.4100,217.1700,217.3500,15115
2024-09-20 15:50:00,217.1400,217.4100,217.1400,217.1600,31669
2024-09-20 15:49:00,217.1200,217.1400,217.0200,217.1000,17647
2024-09-20 15:48:00,217.1300,217.1900,217.0600,217.1200,14347
2024-09-20 15:47:00,217.0200,217.1300,217.0000,217.0900,15702
2024-09-20 15:46:00,217.1900,217.1900,217.0100,217.0150,9670
2024-09-20 15:45:00,217.1550,217.2000,217.1400,217.2000,17273
2024-09-20 15:44:00,217.1400,217.2250,217.1400,217.1700,14808
2024-09-20 15:43:00,217.1350,217.2100,217.1350,217.1400,8457
2024-09-20 15:42:00,217.0500,217.1300,217.0191,217.1050,8696
2024-09-20 15:41:00,216.9500,217.1000,216.9300,217.0300,7576
2024-09-20 15:40:00,216.9400,217.0400,216.8700,216.9900,11334
2024-09-20 15:39:00,217.0700,217.0700,216.9200,216.9300,8024
2024-09-20 15:38:00,216.7950,217.0800,216.7600,217.0000,13322
2024-09-20 15:37:00,216.7200,216.8800,216.7200,216.8000,13031
2024-09-20 15:36:00,216.6600,216.7100,216.6300,216.6600,8970
2024-09-20 15:35:00,216.6900,216.7199,216.6200,216.6550,9266
2024-09-20 15:34:00,216.7300,216.7300,216.6600,216.7300,6694
2024-09-20 15:33:00,216.7340,216.7400,216.6800,216.7006,4479
2024-09-20 15:32:00,216.6800,216.7600,216.6800,216.7300,4720
2024-09-20 15:31:00,216.7800,216.8400,216.6100,216.6600,10211
2024-09-20 15:30:00,216.8200,216.8800,216.8000,216.8100,4402
2024-09-20 15:29:00,216.9000,216.9800,216.8000,216.8200,6655
2024-09-20 15:28:00,216.8400,216.9100,216.8100,216.8750,7502
2024-09-20 15:27:00,216.7700,216.9000,216.7600,216.9000,10562
2024-09-20 15:26:00,216.6928,216.8400,216.6928,216.7900,24682
2024-09-20 15:25:00,216.5700,216.7150,216.5700,216.7150,6294
2024-09-20 15:24:00,216.5700,216.5700,216.4900,216.5103,7440
